game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
Prinny Presents NIS Classics Volume 3 La Pucelle: Ragnarok / Rhapsody: A Musical Adventure,Switch,2022/08/30,71,NA,Nippon Ichi Software,"Miscellaneous, Compilation",11,NA
Destroy All Humans! 2 - Reprobed,PlayStation 5,2022/08/30,67,8,Black Forest Games,"Action Adventure, General, Open-World",38,21
Dusk Diver 2,PlayStation 5,2022/08/30,60,NA,Wanin International,"Action, Role-Playing, Action RPG, Beat-'Em-Up, 3D",10,NA
Dusk Diver 2,Switch,2022/08/30,60,NA,Wanin International,"Action, Role-Playing, Action RPG, Beat-'Em-Up, 3D",9,NA
Soul Hackers 2,Xbox Series X,2022/08/26,77,6.2,Atlus,"Role-Playing, Japanese-Style",9,27
Pac-Man World: Re-PAC,PC,2022/08/26,74,7.9,"Now Production, Bandai Namco Games","Action, Platformer, 3D",7,11
Pac-Man World: Re-PAC,Xbox Series X,2022/08/26,71,NA,Bandai Namco Games,"Action, Platformer, 3D",9,NA
Pac-Man World: Re-PAC,PlayStation 5,2022/08/26,71,8.5,Bandai Namco Games,"Action, Platformer, 3D",30,12
Soul Hackers 2,PC,2022/08/26,70,5.3,"Artdink, Atlus","Role-Playing, Japanese-Style",17,34
Pac-Man World: Re-PAC,Switch,2022/08/26,66,7.7,"Now Production, Bandai Namco Games","Action, Platformer, 3D",14,11
I Was a Teenage Exocolonist,PC,2022/08/25,89,8,Northway Games,"Strategy, Turn-Based, Card Battle",8,13
F1 Manager 2022,PC,2022/08/25,78,6.1,Frontier Developments,"Racing, Simulation, Other",18,44
F1 Manager 2022,PlayStation 5,2022/08/25,74,7.9,Frontier Developments,"Racing, Simulation, Other",11,14
SD Gundam Battle Alliance,PlayStation 5,2022/08/25,74,8.1,"Bandai Namco Games, Artdink","Role-Playing, Simulation, Action RPG, Vehicle, Combat",14,7
SD Gundam Battle Alliance,Switch,2022/08/25,73,7.3,"Bandai Namco Games, Artdink","Role-Playing, Simulation, Action RPG, Vehicle, Combat",12,4
